,departement,lieu_id,Fermeture_Estivale,categorie,name_x,close.actif,close.dateDebut,close.dateFin,name_y,Counts
33323,Hauts-de-Seine,3998,Ouvert,202.0,Formation et emploi,False,,,Formation français,1
33325,Hauts-de-Seine,4001,Ouvert,804.0,Ateliers pour enfants,True,2021-07-05 00:00:00+00:00,2021-09-06 00:00:00+00:00,Activités,1
33326,Hauts-de-Seine,4002,Ouvert,202.0,Formation et emploi,False,,,Formation français,1
33344,Gironde,4103,Modification,402.0,,False,,,Permanence juridique,1
33345,Gironde,4104,Ouvert,804.0,Atelier Jardin,False,2021-06-23 00:00:00+00:00,2021-06-23 00:00:00+00:00,Activités,1
33361,Gironde,4200,Fermé,501.0,TECHNOLOGIE,False,,,Ordinateur,1
33372,Gironde,4325,Ouvert,1107.0,,False,,,Gynécologie,1
33402,Yvelines,4402,Fermé,804.0,Yoga et théatre,False,,,Activités,1
33404,Yvelines,4406,Fermé,302.0,Hygiène et bien-être,False,,,Laverie,1
33413,Paris,4416,Modification,202.0,asl,True,,,Formation français,1
33416,Val-de-Marne,4440,Ouvert,407.0,Conseil,False,,,Conseil administratif,1
33417,Val-de-Marne,4441,Ouvert,404.0,,False,,,Accompagnement social,1
33419,Val-de-Marne,4444,Fermé,405.0,CONSEIL,True,2021-12-25 00:00:00+00:00,2022-01-02 00:00:00+00:00,Ecrivain public,1
33420,Val-de-Marne,4445,Ouvert,803.0,,False,,,Bibliothèque,1
33425,Val-de-Marne,4452,Ouvert,206.0,FORMATION_EMPLOI,False,,,Soutien scolaire,1
33428,Val-de-Marne,4458,Modification,301.0,Hygiène et bien-être,False,,,Douche,1
33429,Val-de-Marne,4459,Fermé,803.0,,False,,,Bibliothèque,1
33431,Val-de-Marne,4464,Ouvert,603.0,ALIMENTATION,False,,,Colis Alimentaire,1
33436,Val-de-Marne,4470,Fermé,403.0,domi1,False,,,Domiciliation,1
33439,Val-de-Marne,4473,Modification,301.0,Hygiène et bien-être,False,,,Douche,1
33440,Val-de-Marne,4475,Ouvert,603.0,ALIMENTATION,False,,,Colis Alimentaire,1
33441,Val-de-Marne,4476,Fermé,605.0,ALIMENTATION,False,,,Fontaine,1
33442,Val-de-Marne,4477,Modification,301.0,Hygiène et bien-être,False,,,Douche,1
33443,Val-de-Marne,4479,Ouvert,903.0,Matériel,False,,,Vêtements,1
33445,Val-de-Marne,4481,Ouvert,903.0,Matériel,False,,,Vêtements,1
33446,Val-de-Marne,4482,Ouvert,903.0,,False,,,Vêtements,1
33447,Val-de-Marne,4483,Ouvert,301.0,HYGIENE,False,,,Douche,1
33453,Val-d'Oise,4489,Fermé,402.0,Conseil,False,,,Permanence juridique,1
33458,Val-d'Oise,4496,Ouvert,804.0,,False,,,Activités,1
33469,Val-de-Marne,4510,Ouvert,804.0,"Fêtes, goûter de Noël...",False,,,Activités,1
33473,Val-d'Oise,4516,Ouvert,501.0,Technologie,False,,,Ordinateur,1
33478,Val-de-Marne,4523,Ouvert,903.0,Matériel,False,,,Vêtements,1
33480,Val-de-Marne,4525,Ouvert,903.0,Matériel,False,,,Vêtements,1
33482,Val-de-Marne,4527,Ouvert,902.0,MATERIEL,False,,,Magasin solidaire,1
33485,Val-de-Marne,4530,Ouvert,202.0,alphabetisation,False,,,Formation français,1
33486,Val-de-Marne,4531,Ouvert,803.0,,False,,,Bibliothèque,1
33502,Paris,4548,Ouvert,402.0,Conseil,False,,,Permanence juridique,1
33508,Seine-Saint-Denis,4555,Ouvert,103.0,Santé,True,2021-08-02 00:00:00+00:00,2021-08-29 00:00:00+00:00,Psychologie,1
33512,Gironde,4575,Fermé,803.0,,True,2021-07-24 00:00:00+00:00,2021-08-29 00:00:00+00:00,Bibliothèque,1
33515,Gironde,4579,Fermé,801.0,"Culture, loisirs, sport & départs en vacances",False,,,Sport,1
33516,Gironde,4580,Fermé,804.0,"Culture, loisirs, sport & départs en vacances",False,,,Activités,1
