,departement,bigCategorie,Changement d'horaire,Services fermés,Fermé,Ouvert
234,Paris,Conseil,0,0,0,1
235,Paris,Conseil,0,0,0,1
236,Paris,Conseil,0,0,0,1
237,Paris,Conseil,0,0,0,1
238,Paris,Conseil,0,0,0,1
239,Paris,Conseil,0,0,0,1
240,Paris,Conseil,0,0,0,1
241,Paris,Conseil,0,0,0,1
242,Paris,Conseil,0,0,0,1
243,Paris,Conseil,0,0,0,1
244,Paris,Conseil,0,0,0,1
245,Paris,Conseil,0,0,0,1
246,Paris,Conseil,0,0,0,1
247,Paris,Conseil,0,0,0,1
248,Paris,Conseil,0,0,0,1
249,Paris,Conseil,0,0,0,1
250,Paris,Conseil,0,0,0,1
251,Paris,Conseil,0,0,0,1
252,Paris,Conseil,0,0,0,1
253,Paris,Conseil,0,0,0,1
254,Paris,Conseil,0,0,0,1
255,Paris,Conseil,0,0,0,1
256,Paris,Conseil,0,0,0,1
257,Paris,Conseil,0,0,0,1
258,Paris,Conseil,0,0,0,1
259,Paris,Conseil,0,0,0,1
260,Paris,Conseil,0,0,0,1
261,Paris,Conseil,0,0,0,1
262,Paris,Conseil,0,0,0,1
263,Paris,Conseil,0,0,0,1
264,Paris,Conseil,0,0,0,1
265,Paris,Conseil,0,0,1,0
266,Paris,Conseil,1,0,0,0
267,Paris,Conseil,0,0,1,0
268,Paris,Conseil,0,0,0,1
269,Paris,Conseil,0,0,1,0
270,Paris,Conseil,0,0,1,0
271,Paris,Conseil,0,0,0,1
272,Paris,Conseil,0,0,0,1
273,Paris,Conseil,0,0,1,0
274,Paris,Conseil,0,0,1,0
275,Paris,Conseil,0,0,1,0
276,Paris,Conseil,1,0,0,0
277,Paris,Conseil,0,0,0,1
278,Paris,Conseil,0,0,1,0
279,Paris,Conseil,0,0,0,1
280,Paris,Conseil,0,0,0,1
281,Paris,Conseil,0,0,0,1
282,Paris,Conseil,0,0,0,1
283,Paris,Conseil,0,0,1,0
284,Paris,Conseil,0,0,1,0
285,Paris,Conseil,0,0,1,0
286,Paris,Conseil,0,0,0,1
287,Paris,Formation,0,0,0,1
288,Paris,Conseil,0,0,1,0
289,Paris,Accueil,0,0,1,0
290,Paris,Conseil,0,0,0,1
291,Paris,Conseil,0,0,0,1
292,Paris,Conseil,0,0,0,1
293,Paris,Conseil,0,0,0,1
294,Paris,Conseil,0,0,0,1
295,Paris,Conseil,0,0,0,1
296,Paris,Conseil,0,0,0,1
297,Paris,Conseil,0,0,0,1
298,Paris,Conseil,0,0,0,1
299,Paris,Conseil,0,0,0,1
300,Paris,Conseil,0,0,0,1
301,Paris,Conseil,0,0,0,1
302,Paris,Conseil,0,0,0,1
303,Paris,Santé,0,0,0,1
304,Paris,Formation,0,0,0,1
305,Paris,Formation,0,0,0,1
306,Paris,Formation,0,0,0,1
307,Paris,Formation,0,0,0,1
308,Paris,Formation,0,0,0,1
309,Paris,Formation,0,0,0,1
310,Paris,Formation,0,0,0,1
311,Paris,Formation,0,0,0,1
312,Paris,Formation,0,0,0,1
313,Paris,Formation,0,0,0,1
314,Paris,Formation,0,0,0,1
315,Paris,Formation,0,0,0,1
316,Paris,Formation,0,0,0,1
317,Paris,Formation,0,0,0,1
318,Paris,Formation,0,0,0,1
319,Paris,Formation,0,0,0,1
320,Paris,Formation,0,0,0,1
321,Paris,Santé,0,0,1,0
322,Paris,Santé,0,0,0,1
323,Paris,Santé,0,0,1,0
324,Paris,Santé,0,0,1,0
325,Paris,Santé,0,0,1,0
326,Paris,Santé,0,0,0,1
327,Paris,Santé,0,0,1,0
328,Paris,Santé,0,0,0,1
329,Paris,Santé,0,0,1,0
330,Paris,Santé,0,0,1,0
331,Paris,Santé,0,0,0,1
332,Paris,Santé,0,0,1,0
333,Paris,Santé,0,0,1,0
334,Paris,Santé,0,0,1,0
335,Paris,Santé,0,0,1,0
336,Paris,Santé,0,0,1,0
337,Paris,Santé,0,0,1,0
338,Paris,Santé,0,0,1,0
339,Paris,Santé,0,0,1,0
340,Paris,Santé,0,0,1,0
341,Paris,Santé,0,0,1,0
342,Paris,Santé,0,0,1,0
343,Paris,Santé,0,0,0,1
344,Paris,Santé,0,0,1,0
345,Paris,Santé,0,0,1,0
346,Paris,Santé,0,0,1,0
347,Paris,Santé,0,0,1,0
348,Paris,Santé,0,0,0,1
349,Paris,Santé,0,0,1,0
350,Paris,Santé,0,0,0,1
351,Paris,Santé,0,0,0,1
352,Paris,Santé,0,0,1,0
353,Paris,Santé,0,0,1,0
354,Paris,Santé,0,0,1,0
355,Paris,Santé,0,0,1,0
356,Paris,Santé,0,0,1,0
357,Paris,Santé,0,0,1,0
358,Paris,Santé,0,0,1,0
359,Paris,Santé,1,0,1,0
360,Paris,Santé,0,0,1,0
361,Paris,Santé,0,0,1,0
362,Paris,Santé,0,0,0,1
363,Paris,Santé,0,0,1,0
364,Paris,Santé,0,0,1,0
365,Paris,Santé,0,0,0,1
366,Paris,Santé,0,0,1,0
367,Paris,Santé,0,0,0,1
368,Paris,Santé,0,0,0,1
369,Paris,Santé,0,0,1,0
370,Paris,Santé,0,0,0,1
371,Paris,Santé,0,0,0,1
372,Paris,Santé,0,0,0,1
373,Paris,Santé,0,0,1,0
374,Paris,Santé,0,0,1,0
375,Paris,Santé,0,0,0,1
376,Paris,Santé,0,0,1,0
377,Paris,Santé,0,0,1,0
378,Paris,Santé,0,0,0,1
379,Paris,Santé,0,0,0,1
380,Paris,Alimentation,0,0,0,1
381,Paris,Alimentation,0,0,0,1
382,Paris,Alimentation,0,0,0,1
383,Paris,Alimentation,0,0,0,1
384,Paris,Alimentation,0,0,0,1
385,Paris,Alimentation,0,0,0,1
386,Paris,Alimentation,0,0,0,1
387,Paris,Alimentation,0,0,0,1
388,Paris,Alimentation,0,0,0,1
389,Paris,Formation,0,0,1,0
